"Id","Place name","Email","Phone","Address","Hours","Location","Reviews count","Category","Total score","website"
"1","Bubble Bee Cafe GMA","","","Blk 65 Lot 97 Alta Tierra Homes, Brgy, General Mariano Alvarez, Cavite","Thursday:[10 AM–9 PM],Friday:[10 AM–9 PM],Saturday:[10 AM–9 PM],Sunday:[10 AM–9 PM],Monday:[10 AM–9 PM],Tuesday:[10 AM–9 PM],Wednesday:[10 AM–9 PM]","https://www.google.com/maps?cid=14622711254443650535","15","Coffee shop","5","null"
"2","Chai Cafe","","","Chai Cafe GMA Area K Cavite, General Mariano Alvarez, Cavite","Thursday:[9 AM–9 PM],Friday:[9 AM–9 PM],Saturday:[9 AM–9 PM],Sunday:[9 AM–9 PM],Monday:[9 AM–9 PM],Tuesday:[9 AM–9 PM],Wednesday:[9 AM–9 PM]","https://www.google.com/maps?cid=10124673971464079103","2","Coffee shop","5","null"
"3","Mangchai Cafe Lumbreras GMA Cavite","","09158631496","72Q3+M3J, General Mariano Alvarez, Cavite","Thursday:[12–9 PM],Friday:[12–9 PM],Saturday:[12–9 PM],Sunday:[12–9 PM],Monday:[12–9 PM],Tuesday:[12–9 PM],Wednesday:[12–9 PM]","https://www.google.com/maps?cid=7519477903307458148","3","Bubble tea store","5","null"
"4","Madre Cafe","","09062127931","Block 4, Lot 28 San Agustin St, General Mariano Alvarez, 4117 Cavite","Thursday:[2–10 PM],Friday:[2–10 PM],Saturday:[2–10 PM],Sunday:[Closed],Monday:[Closed],Tuesday:[2–10 PM],Wednesday:[2–10 PM]","https://www.google.com/maps?cid=14079122248328632936","null","Coffee shop","null","facebook.com"
"5","Hidden Cafe","","","72X6+V8P, General Mariano Alvarez, Cavite","Thursday:[12–10 PM],Friday:[12–10 PM],Saturday:[12–10 PM],Sunday:[12–10 PM],Monday:[12–10 PM],Tuesday:[12–10 PM],Wednesday:[12–10 PM]","https://www.google.com/maps?cid=3309221324183288818","7","Coffee shop","4.6","null"
"6","Café Espacio","","09662565501","8223+F25, Pasong Saging, General Mariano Alvarez, 4117 Cavite","Thursday:[10 AM–12 AM],Friday:[10 AM–12 AM],Saturday:[10 AM–12 AM],Sunday:[10 AM–12 AM],Monday:[10 AM–12 AM],Tuesday:[10 AM–12 AM],Wednesday:[10 AM–12 AM]","https://www.google.com/maps?cid=6247077538634152390","15","Coffee shop","4.9","null"
"7","Juan's Deli Café- GMA Cavite","","","4117 Congressional Rd, General Mariano Alvarez, Cavite","Thursday:[11 AM–9 PM],Friday:[11 AM–9 PM],Saturday:[11 AM–9 PM],Sunday:[11 AM–9 PM],Monday:[11 AM–9 PM],Tuesday:[11 AM–9 PM],Wednesday:[11 AM–9 PM]","https://www.google.com/maps?cid=17806010579705781092","null","Coffee shop","null","null"
"8","Brew Shots Cafe GMA Cavite","","0464209133","Poblacion 5 block 5 lot 1, General Mariano Alvarez, 4117 Metro Manila","Thursday:[9 AM–9 PM],Friday:[9 AM–9 PM],Saturday:[9 AM–9 PM],Sunday:[9 AM–9 PM],Monday:[9 AM–9 PM],Tuesday:[9 AM–9 PM],Wednesday:[9 AM–9 PM]","https://www.google.com/maps?cid=1578490556535183458","1","Cafe","5","null"
"9","Coffee (Not existing)","","09652131237","2 Lot 24 San Gabriel, General Mariano Alvarez, Cavite","Thursday:[11 AM–9 PM],Friday:[11 AM–9 PM],Saturday:[11 AM–9 PM],Sunday:[3–9 PM],Monday:[11 AM–9 PM],Tuesday:[11 AM–9 PM],Wednesday:[11 AM–9 PM]","https://www.google.com/maps?cid=1411590675049089654","null","Coffee shop","null","null"
"10","What If Coffee - GMA","","","2nd Floor, 72P2+986 Angeles Building, General Mariano Alvarez, 4117 Cavite","Thursday:[10 AM–10 PM],Friday:[10 AM–10 PM],Saturday:[10 AM–10 PM],Sunday:[10 AM–10 PM],Monday:[10 AM–10 PM],Tuesday:[10 AM–10 PM],Wednesday:[10 AM–10 PM]","https://www.google.com/maps?cid=18442499702858821976","1","Coffee shop","5","null"
"11","KOFEE CAVITE - GMA","","","121 Congressional Rd, General Mariano Alvarez, Cavite","Thursday:[11 AM–9 PM],Friday:[11 AM–9 PM],Saturday:[11 AM–9 PM],Sunday:[11 AM–9 PM],Monday:[11 AM–9 PM],Tuesday:[11 AM–9 PM],Wednesday:[11 AM–9 PM]","https://www.google.com/maps?cid=517782803786757111","4","Coffee shop","4.3","null"
"12","Heneral Kabang Coffee","","0468504451","Blk16 Lt1, Mayor’s Drive, General Mariano Alvarez, 4117 Cavite","Thursday:[2–10 PM],Friday:[4–10 PM],Saturday:[4–10 PM],Sunday:[4–10 PM],Monday:[4–10 PM],Tuesday:[3–10 PM],Wednesday:[3–10 PM]","https://www.google.com/maps?cid=12153533007946784388","12","Coffee shop,Cafe,Hamburger restaurant,Italian restaurant","4.8","m.facebook.com"
"13","Liwanag Cafe GMA","","09455873640","Congressional Rd, General Mariano Alvarez, 4117 Cavite","Thursday:[10 AM–11 PM],Friday:[10 AM–11 PM],Saturday:[10 AM–11 PM],Sunday:[10 AM–11 PM],Monday:[10 AM–11 PM],Tuesday:[10 AM–11 PM],Wednesday:[10 AM–11 PM]","https://www.google.com/maps?cid=16578813940103969931","159","Restaurant","4.5","null"
"14","Mijou cafe","","09811334111","827C+C3P, Congressional Rd, General Mariano Alvarez, Cavite","Thursday:[11 AM–9 PM],Friday:[11 AM–9 PM],Saturday:[11 AM–9 PM],Sunday:[11 AM–9 PM],Monday:[11 AM–9 PM],Tuesday:[11 AM–9 PM],Wednesday:[11 AM–9 PM]","https://www.google.com/maps?cid=18285845215088998263","null","Coffee shop","null","null"
"15","Lagarde Hidden Café","","","Block 5 Lot 1 Narra St., Brgy. Poblacion 2, General Mariano Alvarez, 4117 Cavite","Thursday:[10 AM–10 PM],Friday:[10 AM–10 PM],Saturday:[10 AM–10 PM],Sunday:[10 AM–9 PM],Monday:[10 AM–10 PM],Tuesday:[10 AM–10 PM],Wednesday:[10 AM–10 PM]","https://www.google.com/maps?cid=279748151347480062","2","Cafe","5","business.site"
"16","Café Tribu - General Mariano Alvarez","","","72W5+WC6, Congressional Rd, General Mariano Alvarez, Cavite","Thursday:[11 AM–9 PM],Friday:[11 AM–9 PM],Saturday:[11 AM–9 PM],Sunday:[11 AM–9 PM],Monday:[11 AM–9 PM],Tuesday:[11 AM–9 PM],Wednesday:[11 AM–9 PM]","https://www.google.com/maps?cid=214748378430887193","1","Cafe","5","null"
"17","Jelly Bean Cafe","","","Blk. 6 Lot 5 Poblacion, 2, General Mariano Alvarez, Cavite","Thursday:[10 AM–9 PM],Friday:[10 AM–9 PM],Saturday:[10 AM–9 PM],Sunday:[10 AM–9 PM],Monday:[10 AM–9 PM],Tuesday:[10 AM–9 PM],Wednesday:[10 AM–9 PM]","https://www.google.com/maps?cid=4228110441361574342","9","Cafe","5","null"
"18","JunLimited","","","Sitio Pasong Saging B15 L42, Brgy delas Alas, General Mariano Alvarez, Cavite","Thursday:[9 AM–12 AM],Friday:[Open 24 hours],Saturday:[10 AM–12 AM],Sunday:[10 AM–12 AM],Monday:[9 AM–12 AM],Tuesday:[9 AM–12 AM],Wednesday:[9 AM–12 AM]","https://www.google.com/maps?cid=1851532686108905322","null","Coffee shop","null","null"
"19","Chunkee And Bubble Cafe","","09771430828","72P2+GC2, Congressional Rd, San Gabriel, General Mariano Alvarez, 4117 Cavite","Thursday:[9 AM–9 PM],Friday:[9 AM–9 PM],Saturday:[9 AM–9 PM],Sunday:[9 AM–9 PM],Monday:[9 AM–9 PM],Tuesday:[9 AM–9 PM],Wednesday:[9 AM–9 PM]","https://www.google.com/maps?cid=2362183502323018731","1","Coffee shop","4","null"
"20","King's Coffee San Gabriel (Area K)","","09652131237","340 San Sebastian St, San Gabriel, General Mariano Alvarez, 4117 Cavite","Thursday:[9 AM–10 PM],Friday:[9 AM–10 PM],Saturday:[11 AM–9 PM],Sunday:[1–10 PM],Monday:[9 AM–10 PM],Tuesday:[9 AM–10 PM],Wednesday:[9 AM–10 PM]","https://www.google.com/maps?cid=18313740967254753024","20","Coffee shop","4.6","null"
