"Id","Place name","Email","Phone","Address","Hours","Location","Reviews count","Category","Total score","website"
"1","Anytime Fitness","","09155892903","Main Square PH, Molino Blvd, Bacoor, 4102 GF","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=14839025671276804969","56","Gym,Personal trainer","4.3","anytimefitness.ph"
"2","Jea Fitness Gym","","09493373221","19 Palico Daanan, Bacoor, 4103 Cavite","Thursday:[7:30 AM–10 PM],Friday:[7:30 AM–10 PM],Saturday:[7:30 AM–10 PM],Sunday:[7:30 AM–10 PM],Monday:[7:30 AM–10 PM],Tuesday:[7:30 AM–10 PM],Wednesday:[7:30 AM–10 PM]","https://www.google.com/maps?cid=15068033125628913486","17","Gym","4.9","null"
"3","Pound For Pound Fitness, Bacoor","","09154080808","Hi-way, 3/F JS Bldng., 4102, Emilio Aguinaldo Hwy, Bacoor, Cavite","Thursday:[7 AM–10 PM],Friday:[7 AM–10 PM],Saturday:[7 AM–10 PM],Sunday:[10 AM–5 PM],Monday:[7 AM–10 PM],Tuesday:[7 AM–10 PM],Wednesday:[7 AM–10 PM]","https://www.google.com/maps?cid=2413065872507570837","10","Gym","4.3","m.facebook.com"
"4","Pound For Pound Fitness - Molino","","09154080808","2nd Flr Progressive 4, Molino 2 Road Bacoor Cavite City, Cavite","Thursday:[7 AM–10 PM],Friday:[7 AM–10 PM],Saturday:[7 AM–10 PM],Sunday:[10 AM–5 PM],Monday:[7 AM–10 PM],Tuesday:[7 AM–10 PM],Wednesday:[7 AM–10 PM]","https://www.google.com/maps?cid=10790042083240453531","9","Gym","5","null"
"5","Rfitness gym Molino3","","09277791620","Purple St, Espeleta, Bacoor, Cavite","Thursday:[9 AM–9 PM],Friday:[9 AM–9 PM],Saturday:[9 AM–9 PM],Sunday:[10 AM–8 PM],Monday:[9 AM–9 PM],Tuesday:[9 AM–9 PM],Wednesday:[9 AM–9 PM]","https://www.google.com/maps?cid=10908974473242851282","8","Gym","4.4","null"
"6","Philippine Sports Performance Bacoor-Molino","","09957296738","86, Phase, 2 Avenida Rizal, Bacoor, 4102 Cavite","Thursday:[6 AM–11 PM],Friday:[6 AM–11 PM],Saturday:[8 AM–9 PM],Sunday:[Closed],Monday:[6 AM–11 PM],Tuesday:[6 AM–11 PM],Wednesday:[6 AM–11 PM]","https://www.google.com/maps?cid=7554039367683339687","6","Fitness center","4.7","facebook.com"
"7","ATL fitness bacoor molino branch","","09219281415","CX79+47W plazuela de molino bacoor, Molino Blvd, Bacoor, 4102 Cavite","Thursday:[4 AM–12 AM],Friday:[4 AM–12 AM],Saturday:[4 AM–12 AM],Sunday:[4 AM–12 AM],Monday:[4 AM–12 AM],Tuesday:[4 AM–12 AM],Wednesday:[4 AM–12 AM]","https://www.google.com/maps?cid=9325731008117875373","8","Fitness center","4.5","null"
"8","Gymville","","","CXR9+PPG, Madrigal Avenue, Bacoor, Cavite","Thursday:[9 AM–9 PM],Friday:[9 AM–9 PM],Saturday:[9 AM–9 PM],Sunday:[1–9 PM],Monday:[9 AM–9 PM],Tuesday:[9 AM–9 PM],Wednesday:[9 AM–9 PM]","https://www.google.com/maps?cid=13443953379189473847","7","Gym","5","null"
"9","Geronimo Fitness Gym","","","CXVC+RH9, Bacoor, Cavite","Thursday:[Closed],Friday:[Closed],Saturday:[Closed],Sunday:[1–1:05 AM],Monday:[Closed],Tuesday:[Closed],Wednesday:[Closed]","https://www.google.com/maps?cid=5780167097907415912","7","Gym","5","null"
"10","Cerritos Heights Clubhouse","","","9XGR+C95, Molino IV, Bacoor, Cavite","Thursday:[8 AM–5 PM],Friday:[8 AM–5 PM],Saturday:[8 AM–5 PM],Sunday:[Closed],Monday:[8 AM–5 PM],Tuesday:[8 AM–5 PM],Wednesday:[8 AM–5 PM]","https://www.google.com/maps?cid=10054200892348055127","16","Gym","4.6","null"
"11","Anytime Fitness","","09157022128","Evia Lifestyle Center, Evia 3, Second Floor UNIT 2F 5B, 1750 Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=5006796999060185520","9","Gym,Personal trainer","4.7","anytimefitness.ph"
"12","Louie's Fitness Gym","","09086943446","#3 St. Mary Street Duplex Homes, 9052 St Mary, Molino IV, Bacoor, 4102 Cavite","Thursday:[7 AM–9 PM],Friday:[7 AM–9 PM],Saturday:[7 AM–9 PM],Sunday:[7 AM–9 PM],Monday:[7 AM–9 PM],Tuesday:[7 AM–9 PM],Wednesday:[7 AM–9 PM]","https://www.google.com/maps?cid=8478302874834559627","3","Gym","4","null"
"13","PHI FITNESS GYM BACOOR","","09092684338","FITNESS GYM, Mayon GCC Building, PHI FITNESS GYM TALABA, Emilio Aguinaldo Hwy, Bacoor, 4102 Cavite","Thursday:[Open 24 hours],Friday:[Open 24 hours],Saturday:[Open 24 hours],Sunday:[Open 24 hours],Monday:[Open 24 hours],Tuesday:[Open 24 hours],Wednesday:[Open 24 hours]","https://www.google.com/maps?cid=14102929064022154276","4","Gym","4.8","facebook.com"
"14","Perez Gym Fitness Center","","09196016274","CWXM+MHV, Tirona Hwy, Bacoor, Cavite","null","https://www.google.com/maps?cid=2593494045560144052","2","Gym","4.5","facebook.com"
"15","Dres Fitness Station","","","Andrea Village 1 - A, 001 Gladiola St, Bacoor, 4102 Cavite","Thursday:[7:30 AM–9 PM],Friday:[7:30 AM–9 PM],Saturday:[7:30 AM–9 PM],Sunday:[5–9 PM],Monday:[7:30 AM–9 PM],Tuesday:[7:30 AM–9 PM],Wednesday:[7:30 AM–9 PM]","https://www.google.com/maps?cid=15467653510622589129","4","Gym","4.8","facebook.com"
"16","Bodyzone GYM","","","Bacoor, Cavite","Thursday:[8 AM–8 PM],Friday:[8 AM–8 PM],Saturday:[8 AM–8 PM],Sunday:[8 AM–12 PM],Monday:[8 AM–8 PM],Tuesday:[8 AM–8 PM],Wednesday:[8 AM–8 PM]","https://www.google.com/maps?cid=6488381487941009567","2","Gym","5","facebook.com"
"17","Quibors Boxing Gym","","","31 Magdiwang Rd, Molino III, Bacoor, 4102 Cavite","Thursday:[8 AM–9 PM],Friday:[8 AM–9 PM],Saturday:[8 AM–9 PM],Sunday:[Closed],Monday:[8 AM–9 PM],Tuesday:[8 AM–9 PM],Wednesday:[8 AM–9 PM]","https://www.google.com/maps?cid=10643545968969771284","5","Boxing gym","3.8","null"
